;descriptions;titles;wages;locations;employment_types;job_times;offer_urls
203;Firma ROZA Moszczanka 63-440 Raszkówzatrudni mężczyzn do obsługi maszyn papierniczych ,mile widziane uprawnienia na wózek widłowyzatrudni kobietę do pakowania towaru i obsługi maszynzatrudni  kierowcę kategorii CE wyjazdy z naszymi produktamikontakt 50*****73;['Zakład produkcyjny przyjmie do pracy kobiety i mężczyzn'];['Moszczanka'];['Pełny etat'];[];['Umowa o pracę'];http://www.olx.pl/oferta/praca/zaklad-produkcyjny-przyjmie-do-pracy-kobiety-i-mezczyzn-CID4-IDJvsJm.html
204;Pizzeria Dagrasso w Łodzi - Chojny ul. Michała 6 poszukuje do swojego zespołu osób na stanowisko KELNERA / KELNERKI .Kogo szukamy?Osób otwartych, komunikatywnych, które nie boją się wyzwańOsób, posiadających chęć do pracy, gotowość do pracy zmianowej, również w weekendyCo będzie należało do Twoich obowiązków?Obsługa gości pizzerii zgodnie z przyjętymi standardamiPrzyjmowanie i wydawanie zamówień,Obsługa systemu, współpraca z resztą zespołu,Oferujemy:miłą atmosferęszkolenie w zakresie obsługi klientaatrakcyjne wynagrodzenie,stabilną pracę,elastyczny czas pracy,Oferujemy pracę na pełny etat, oraz niepełny, czy też jako dodatkową pracę.Jeśli uważasz, że jest to praca dla Ciebie, dzwoń po resztę informacji;['Pizzeria Dagrasso Łódź Chojny  szuka Kelnerki/Kelnera'];['Łódź, Górna'];['Pełny etat'];[];['Inny'];http://www.olx.pl/oferta/praca/pizzeria-dagrasso-lodz-chojny-szuka-kelnerki-kelnera-CID4-IDOYp5n.html
205;Zatrudnię pracowników budowlanych :pracowników z doświadczeniem budowlanym różnych specjalizacjipomocników budowlanych , również do przyuczeniabrukarzy , pomocników brukarzykierowcę kat. C na niepełny etat np. 1 lub 2 w tygodniuoperatora koparko ładowarki z doświadczeniem lub bezCV lub krótką informację o doświadczeniu zawodowym proszę składać drogą elektroniczną lub sms na poniższy adres wraz z tel. kontaktowym lub e-mail  - Wymagane Praca na terenie Śląska .Zapewniam transport .;['praca na budowie'];['3 500 zł - 8 000 zł zł / mies. brutto'];['Jaworzno'];['Umowa o pracę'];['Pełny etat'];http://www.olx.pl/oferta/praca/praca-na-budowie-CID4-IDQHGQT.html
206;Firma Tartak Zębowo zatrudni pracowników produkcyjnych.Praca w systemie dwuzmianowym.Umowa o pracę - pełen etat.;['Pracownik produkcyjny'];['Zębowo'];['Pełny etat'];[];['Umowa o pracę'];http://www.olx.pl/oferta/praca/pracownik-produkcyjny-CID4-IDUBxCr.html
207;"Cześć! Jestem Kura Warzyw - Gemüse Kebap®, czyli ludzie w sieci lokali gastronomicznych. Funkcjonuję już kilka lat na mapie gastronomicznej Poznania i Warszawy, tworząc autorskie kebaby i niezapomniane doświadczenia gastronomiczne. Dba Cześć! Jesteśmy Kura Warzyw - Gemüse Kebap®. 

Tworząc autorskie menu pokazujemy, że kebab może być premium. Mamy 7 lokali w Poznaniu i Warszawie. Relacje w zespole są dla nas tak samo ważne jak relacje z Gośćmi. W związku z rozwojem poszukujemy osób na stanowiska Kebab mastera. 

Kebab master odpowiada za jakość doświadczenia gastronomicznego naszych Gości, czyli: 

- przygotowywanie autorskich kebabów, 
- budowanie relacji z Gośćmi, 
- czystość w lokalu. 

Otrzymasz od nas: 

- elastyczny grafik, 
- płatne szkolenia, wsparcie w okresie wdrożenia, 
- atrakcyjną ścieżkę rozwoju: możliwość awansu na Kierownika Zmiany, a następnie Kierownika Lokalu, 
- umowę zlecenie, stawka 26-28 zł/h (brutto), na co składa się podstawa 23,80 + system premiowy (pamiętaj, jeśli jesteś studentem brutto = netto),
- zniżki pracownicze, 
- system polecania pracowników. 

Pracując na tym stanowisku nauczysz się:

- technik sprzedaży sugestywno-relacyjnej,
- przygotowywać kebaby zgodnie z naszą recepturą,
- obsługi kasy fiskalnej,
- sposób zarządzania czasem,
- wielozadaniowości.

Ważna dla nas jest: 

- odpowiedzialność i umiejętność pracy w zespole, 
- dyspozycyjność min. 80 h w miesiącu w tym 2 pełne weekendy, 
- chęć uczenia się i rozwoju, 
- energia i zaangażowanie, 
- uczciwość i wzajemny szacunek. 

Lokale, w których czeka miejsce dla Ciebie: 

- ul. Duchnicka (Żoliborz), 
- ul. Dąbrowskiego (Mokotów), 
- ul. Chmielna (Śródmieście), 
- Plac Żelaznej Bramy (Hala Gwardii).

Jeśli zobaczyłeś w tym ogłoszeniu siebie, to napisz lub zadzwoń!

Zapraszamy do wysłania swojej aplikacji tutaj (pod ogłoszeniem) z ujęciem obowiązującej klauzuli dot. danych osobowych. Do zobaczenia!";['Kura Warzyw — Obsługa Gości — Hala Gwardii i Chmielna'];['25 zł - 27 zł zł / godz. brutto'];['Warszawa, Śródmieście'];['Umowa zlecenie'];['Niepełny etat'];http://www.olx.pl/oferta/praca/kura-warzyw-obsluga-gosci-hala-gwardii-i-chmielna-CID4-IDTHbuT.html
208;Hej, jestem TubaPay!Dostarczam usługę, dzięki której sprzedawcy będący moimi Partnerami oferują swoim Klientom opłacenie zakupu w formie miesięcznej jako alternatywę do płatności jednorazowej.  W praktyce oznacza to, że współpracujący ze mną Partnerzy wykorzystują mnie do rozwoju swojej sprzedaży oferując abonamenty, subskrypcje oraz inne niestandardowe formy płatności - które obsługuję.Moimi największymi atutami są - 11 letnie doświadczenie, wszechstronność oraz nieprawdopodobna elastyczność. Obecnie współpracuję z ponad 500 Partnerami, których Klienci stają się moimi Klientami (B2B2C), a moją główną specjalizacją jest live-commerce i sektor usługowy.Posiadam licencję Małej Instytucji Płatniczej polskiego regulatora KNF, z szacunkiem podchodzę do Klientów i jestem fair play w stosunku do wszystkich Partnerów. Lubię to co robię i dzięki temu bawię się dobrze, jestem ambitna i chcę przekraczać kolejne bariery. Zapraszam, dołącz do mego Teamu. Tuba.www.tubapay.plSpecjalis-tka/ta ds. rozliczeń i operacji finansowychMiejsce pracy: WarszawaMAMY DLA CIEBIE WYZWANIE:Będziesz odpowiadał/a za weryfikację poprawności oraz obsługę dokumentacji rozliczeniowych z naszymi PartneramiOtrzymasz kompetencje, aby kontrolować i analizować kluczowe parametry kosztowe, przychodoweBędziesz miał/a kontakt z naszymi Partnerami w zakresie rozliczeń prowizyjnych oraz będziesz automatyzować procesy kalkulacyjne związane z naszą ofertąPowierzymy Ci obszar współpracy z księgowością oraz będziesz uczestniczyć w procesach raportowania zarządczegoZALEŻY NAM ABYŚ:Posiadał/a wrodzone zdolności analityczne oraz dbałości o szczegółyRealizował/a wcześniej podobny zakres obowiązków min. 2 lataBył/a biegła w zakresie znajomości pakietu MS ExcelMiał/a zamiłowanie do pracy z liczbami i dokumentami oraz podstawową wiedze z zakresu księgowościNade wszystko, jeśli wiesz że najważniejszą Twoją zaletą jest - determinacja w dążeniu do celu - to musimy się spotkać!TO CI SIĘ PO PROSTU NALEŻY: Otrzymasz swobodę działania, ale też doświadczonego mentora, który wiele Cię nauczy i zadba o Twój komfort, Jedyny wyścig w którym będziesz uczestniczyć dotyczy Twoich ambicji, Twoje pomysły i inicjatywy nie będą przedmiotem przedłużających się konsultacji, spotkań i braku decyzyjności, Twoja praca będzie doceniania, a co najważniejsze wiele się nauczysz i doświadczysz, jak Twoje pomysły przekładają się na rozwój firmy, Będziesz pracować w firmie technologicznej o niekorporacyjnej atmosferze i będziesz się dobrze bawić.Nie przesyłaj Listu Motywacyjnego tylko CV lub jeśli Ci wygodniej jedynie krótki opis – dlaczego to Ty.Uprzejmie informujemy że skontaktujemy się tylko z wybranymi kandydatami. Szanowni Państwo, wypełniając prawny obowiązek niniejszym informujemy, iż : 1.administratorem danych osobowych będzie BACCA Sp. z o.o. (właściciel marki TubaPay) KRS: 0000386087 2. Podanie danych jest dobrowolne, ale potrzebne do realizacji do ocena kwalifikacji kandydata jako pracownika naszej firmy. 3. Podane dane nie będą udostępnianie innym podmiotom. 4. Przetwarzanie danych odbywa się na podstawie wyrażonej zgody do czasu jej wycofania lub do czasu zakończenia procesu rekrutacji. 5. Przetwarzanie danych może odbywać się na podstawie prawnie uzasadnionego interesu administratora w celu ustalenia, dochodzenia lub ochrony roszczeń do czasu ich ustawowego wygaśnięcia. 6. Zgoda na przetwarzanie danych może zostać cofnięta w dowolnym czasie, nie wpływa to jednak na przetwarzanie, które miało miejsce do jej wycofania. 7. Przysługuje Pani/Panu prawo dostępu do swoich danych, ich sprostowania, usunięcia, przeniesienia oraz ograniczenia przetwarzania przez administratora, a także prawo do sprzeciwu wobec przetwarzania danych przez administratora . 8. Kontakt z administratorem danych jest możliwy będzie za pośrednictwem adresu email udostępnionego do przesyłania dokumentów.;['Specjalista ds. rozliczeń i operacji finansowych'];['Warszawa, Mokotów'];['Pełny etat'];[];['Inny'];http://www.olx.pl/oferta/praca/specjalista-ds-rozliczen-i-operacji-finansowych-CID4-IDPqX0t.html
209;Przyjmę dyspozycyjną i uczciwą kobietę do pracy na pełen etatTwoje zadania: -Obsługa Klientów-Dbałość o prawidłową ekspozycję produktów oraz utrzymanie porządku w sklepie-Bieżące towarowanie-Przyjmowanie dostaw-Kontrole dat przydatności produktów Wymagamy:-doświadczenie w pracy w sklepie-Książeczka sanepidu-Gotowość do pracy w systemie zmianowym-Punktualność, uczciwość, dobra organizacja pracy-Biegła znajomość języka polskiego Oferujemy:-umowa zlecenie / o pracę-elastyczny grafik-przeszkolenie do pracy-miły, przyjazny zespół-podstawa + premia za dobrze wykonywane przydzielane obowiązkiZainteresowane osoby proszę o kontakt telefoniczny, nie odpowiadam na wiadomości e-mail.;['Zatrudnię do sklepu Żabka, od 18zł/h, Prądnik Czerwony'];['19 zł - 27 zł zł / godz. brutto'];['Kraków, Prądnik Czerwony'];['Umowa o pracę'];['Pełny etat'];http://www.olx.pl/oferta/praca/zatrudnie-do-sklepu-zabka-od-18zl-h-pradnik-czerwony-CID4-IDODo6J.html
210;"Ogólnopolska Agencja Ochrony Osób i Mienia zatrudni mężczyzn na stanowisko :Pracownik Ochrony.Wymagamy : - osób nie karanych; - zdecydowanych pracować na stałe, jako praca dodatkowa lub na czas wakacji- odpornych na sytuacje stresowe;Oferujemy :- stawkę 26,45 pln/h brutto (uczeń , student 24,00-25,00 pln/h netto)- zapewniamy szkolenie- umowę zlecenie, - stałe stabilne zatrudnienie.Mile widziane osoby posiadające status ucznia, studenta. A także osoby wpisane na listę kwalifikowanych pracowników ochrony fizycznej. Odpowiadamy tylko na wybrane zgłoszenia zawierające CV.Prosimy o zamieszczania do przysyłanych dokumentów aplikacyjnych poniższej zgody:Zgodnie z art.6 ust.1 lit. a ogólnego rozporządzenia o ochronie danych osobowych z dnia 27 kwietnia 2016 r. (Dz. Urz. UE L 119 z 04.05.2016) wyrażam zgodę na przetwarzanie moich danych osobowych przez Administratora Danych Osobowych dla potrzeb aktualnej i przyszłych rekrutacji, ale nie dłużej niż 2 lata od daty wysłania aplikacji.";['Ochrona Bydgoszcz - 26,45 zł/h brutto'];['Bydgoszcz'];['Pełny etat'];[];['Umowa zlecenie'];http://www.olx.pl/oferta/praca/ochrona-bydgoszcz-26-45-zl-h-brutto-CID4-IDG22ul.html
211;CO NAS WYRÓŻNIABudujemy i podtrzymujemy relacje z Klientami.Działamy zespołowo i dbamy o dobrą atmosferę w pracy.Jesteśmy dużą instytucją finansową, ale nie nazywamy siebie korporacją. Jesteśmy społecznością. Stefczyk Finanse w ramach swojej działalności współpracuje z firmą Saltus. Dzięki temu Nasi Pracownicy mogą otrzymywać dodatkowe, atrakcyjne gratyfikacje finansowe i rzeczowe oraz biorą udział w licznych konkursach z obszaru sprzedaży ubezpieczeń.Twój Zakres Obowiązków:dbanie o wysoką jakość obsługi Klienta,                                        aktywna sprzedaż produktów finansowych i ubezpieczeń, budowanie długotrwałych relacji z Klientami,obsługa transakcji gotówkowych i bezgotówkowych.   Nasze Wymagania:otwartość i komunikatywność,konsekwencja w dążeniu do wyznaczonego celu,nastawienie na współpracę i dobrą atmosferę w zespole,swoboda w posługiwaniu się aplikacjami pakietu MS Office,wykształcenie minimum średnie.Co Oferujemy:stabilne zatrudnienie na umowę o pracę,możliwość zdobycia pierwszego doświadczenia zawodowego,nielimitowany system premiowy uzależniony od wyników,wsparcie Opiekuna Adaptacyjnego i Trenera Wdrożeniowego,gwarantowaną premię na start w okresie pierwszych 3 m-cy zatrudnienia,udział w konkursach sprzedażowych,system szkoleń i programów rozwojowych,prywatną opiekę medyczną dla Pracowników i ich rodzin,kafeteryjną platformę benefitów.;['Opiekun Finansowy Stefczyk Finansowy, miejscowość Wrocław, Karłowice'];['Wrocław, Stare Miasto'];['Pełny etat'];[];['Umowa o pracę'];http://www.olx.pl/oferta/praca/opiekun-finansowy-stefczyk-finansowy-miejscowosc-wroclaw-karlowice-CID4-IDUvLKk.html
212;"Opis firmy:Ponad 3100 sklepów w 1100 miejscowości oraz 16 centrów dystrybucyjnych. To właśnie Biedronka – lider branży retail, który od 26 lat z sukcesem działa na polskim rynku, gwarantując swoim pracownikom stabilność zatrudnienia, możliwości rozwoju i bogaty pakiet programów socjalnych. Zostań częścią naszego zespołu, miej wpływ na doświadczenia zakupowe milionów klientów w Polsce i przekonaj się, że Twoja praca ma znaczenie. Codziennie.W skrócie:Lokalizacja: ul. Smugowa, PabianiceUmowa o pracę bez okresu próbnego. Benefity dla Ciebie i dla rodziny: dodatkowe zasilenia e-kodów na zakupy w Biedronce i Hebe (min. 3 razy w ciągu roku), dofinansowanie karty Multisport, wyjazdy wakacyjne dla dzieci pracowników i wiele innych. Praca 3-zmianowa: poranna, popołudniowa, nocna oraz w weekendy. U nas zarobisz od 4150 do 4440 zł brutto z nagrodą za obecność i premią operacyjną. O pracy: Lubisz kontakt z ludźmi i dynamikę pracy w handlu? Dołącz do zespołu Biedronki na stanowisko Sprzedawca-Kasjer w jednym z naszych 3400 sklepów. Pracuj w stabilnej firmie u największego pracodawcy w Polsce i rozwijaj się z nami! Jakich osób szukamy: Otwartych na kontakt z klientami; Gotowych do pracy na 3 zmiany (poranna, popołudniowa, nocna) i weekendy; Gotowych do pracy fizycznej; Zaangażowanych i nastawionych na współpracę; Ceniących pracę w zespole. Co zapewniamy: Umowa o pracę bez okresu próbnego; Wynagrodzenie od 4150 do 4440 zł brutto z nagrodą za obecność i premią operacyjną; Podwyżki stażowe po roku oraz po 3 latach pracy; Nagroda finansowa do 1000 zł brutto za polecenie pracownika; Możliwość pracy w różnych wymiarach etatu (1,0.75, 0.5, 0.25); Ponad 20 benefitów dla Ciebie i Twojej rodziny: dodatkowe zasilenia e-kodów na zakupy w Biedronce i Hebe (min. 3 razy w ciągu roku), dofinansowanie karty Multisport, wyjazdy wakacyjne dla dzieci pracowników, regularne badania profilaktyczne, wyprawki dla noworodków oraz wyprawki szkolne i wiele innych. 90% naszych pracowników jest zadowolonych z oferowanych przez Biedronkę programów wsparcia.  16 dniowe wdrożenie do pracy w sklepie z dedykowanym opiekunem, w tym szkolenie z obsługi kasy fiskalnej i samoobsługowej; Dostęp do platformy e-learningowej; 80 tysięcy pracowników Biedronki może korzystać z platformy rozwojowej EduAkcja.   Za co będziesz odpowiadać? Profesjonalna obsługa klienta przy kasie fiskalnej i na sali sprzedaży; Dbanie o właściwy sposób ekspozycji towaru i wykładanie towaru; Przygotowanie i umieszczanie prawidłowych oznaczeń cenowych; Zapewnienie standardów czystości w sklepie oraz w jego obrębie. Etapy procesu rekrutacji: Aplikacja CV Selekcja i weryfikacja dokumentów przez Rekrutera Spotkanie rekrutacyjne z Kierownikiem Sklepu Decyzja = informacja zwrotna Możliwości awansu:Sprzedawca Kasjer -> Ekspert Ds. Produktów Świeżych Sprzedawca Kasjer -> Starszy Sprzedawca Kasjer -> Zastępca Kierownika Sklepu -> Kierownik Sklepu -> Kierownik Sklepu Szkoleniowo-wdrożeniowego 90% awansów w Biedronce to awanse wewnętrzne.  Dowiedz się więcej o naszej firmie i wejdź na stronę internetową www.pracawbiedronce.pl ";['Sprzedawca - Kasjer, ul. Smugowa, Pabianice'];['Pabianice'];['Pełny etat'];[];['Umowa o pracę'];http://www.olx.pl/oferta/praca/sprzedawca-kasjer-ul-smugowa-pabianice-CID4-IDUvLJ6.html
213;"Opis firmy:Ponad 3100 sklepów w 1100 miejscowości oraz 16 centrów dystrybucyjnych. To właśnie Biedronka – lider branży retail, który od 26 lat z sukcesem działa na polskim rynku, gwarantując swoim pracownikom stabilność zatrudnienia, możliwości rozwoju i bogaty pakiet programów socjalnych. Zostań częścią naszego zespołu, miej wpływ na doświadczenia zakupowe milionów klientów w Polsce i przekonaj się, że Twoja praca ma znaczenie. Codziennie.W skrócie:Lokalizacja: ul. Sikorskiego, ŁódżUmowa o pracę, bez okresu próbnego. Benefity dla Ciebie i dla rodziny: dodatkowe zasilenia e-kodów na zakupy w Biedronce i Hebe (min. 3 razy w ciągu roku), dofinansowanie karty Multisport, wyjazdy wakacyjne dla dzieci pracowników i wiele innych. Praca 3-zmianowa: poranna, popołudniowa, nocna oraz w weekendy. U nas zarobisz od 4150 do 4440 zł brutto z nagrodą za obecność i premią operacyjną. O pracy: Lubisz kontakt z ludźmi i dynamikę pracy w handlu? Dołącz do zespołu Biedronki na stanowisko Kasjer w jednym z naszych 3400 sklepów. Pracuj w stabilnej firmie u największego pracodawcy w Polsce i rozwijaj się z nami! Jakich osób szukamy: Otwartych na kontakt z klientami; Gotowych do pracy na 3 zmiany (poranna, popołudniowa, nocna) i w weekendy; Gotowych do pracy fizycznej; Zaangażowanych i nastawionych na współpracę; Ceniących pracę w zespole. Co zapewniamy: Umowa o pracę bez okresu próbnego; Wynagrodzenie od 4150 do 4440 zł brutto z nagrodą za obecność i premią operacyjną; Podwyżki stażowe po roku oraz po 3 latach pracy; Nagroda finansowa do 1000 zł brutto za polecenie pracownika; Możliwość pracy w różnych wymiarach etatu (1, 0.75, 0.5, 0.25); Ponad 20 benefitów dla Ciebie i Twojej rodziny: dodatkowe zasilenia e-kodów na zakupy w Biedronce i Hebe (min. 3 razy w ciągu roku), dofinansowanie karty Multisport, wyjazdy wakacyjne dla dzieci pracowników, regularne badania profilaktyczne, wyprawki dla noworodków oraz wyprawki szkolne i wiele innych. 90% naszych pracowników jest zadowolonych z oferowanych przez Biedronkę programów wsparcia.  16 dniowe wdrożenie do pracy w sklepie z dedykowanym opiekunem, w tym szkolenie z obsługi kasy fiskalnej i samoobsługowej; Dostęp do platformy e-learningowej; 80 tysięcy pracowników Biedronki może korzystać z platformy rozwojowej EduAkcja.   Za co będziesz odpowiadać? Profesjonalna obsługa klienta przy kasie fiskalnej; Praca z towarem w strefie kas; Zapewnienie standardów czystości w sklepie oraz w jego obrębie. Etapy procesu rekrutacji: Aplikacja CV Selekcja i weryfikacja dokumentów przez Rekrutera Spotkanie rekrutacyjne z Kierownikiem Sklepu Decyzja = informacja zwrotna Dowiedz się więcej o naszej firmie i wejdź na stronę internetową www.pracawbiedronce.pl ";['Kasjer, ul. Sikorskiego, Łódź'];['Łódź, Bałuty'];['Niepełny etat'];[];['Umowa o pracę'];http://www.olx.pl/oferta/praca/kasjer-ul-sikorskiego-lodz-CID4-IDUvLJ2.html
214;Firma e-commerce poszukuje osoby do pracy na stanowisku obsługi magazynowej oraz wsparcia klienta. Poszukujemy osoby, która będzie odpowiedzialna za przygotowanie zamówień, odpowiedzi na dyskusje z klientami oraz obsługę telefoniczną. Dodatkowo, osoba na tym stanowisku będzie odpowiedzialna za wystawianie aukcji na market place.Wymagania:Doświadczenie w pracy w magazynie będzie dużym plusemUmiejętność pracy w zespole oraz w szybkim tempieWystawianie ofert, obsługa social mediówBardzo dobre umiejętności interpersonalne oraz komunikacyjneChęć do pracy i posiadanie podejścia pro-klienckiegoOferujemy:Stabilną pracę w firmie z doświadczeniem na rynku e-commerceAtrakcyjne wynagrodzeniePrzyjazną atmosferę pracy i możliwość rozwoju w strukturach firmyJeśli jesteś zainteresowany/a pracą na tym stanowisku, prosimy o przesłanie swojego CV wraz z listem motywacyjnym. Uwaga paczki ważą do 20KG.;['Praca w e-commerce - ambitna praca oraz rozwój w fajnym zespole'];['25 zł - 35 zł zł / godz. brutto'];['Puck'];['Umowa o pracę'];['Pełny etat'];http://www.olx.pl/oferta/praca/praca-w-e-commerce-ambitna-praca-oraz-rozwoj-w-fajnym-zespole-CID4-IDUvKQw.html
215;"Poszukujemy pracownika do wyklejania plakatów na słupach ogloszeniowych na terenie miasta Nowy Sącz.Wymagamy:min. 18 latprawo jazdyaparat fotograficzny/ telefon z aparatemwłasny samochóddostęp do internetumiejsce zamieszkania Nowy Sącz i okoliceKlejenie plakatów jest prowadzone zazwyczaj 1x w tygodniu w każdą sobota czy niedziela w ciągu dnia. Praca potrwa ok. 4 godzin. Osoba plakatująca jest odpowiedzialna za swój przydzielony sektor, który składa się z 30 słupów i tablic.Plakaty na niedzielne plakatowanie odbiera się w piątki popołudnie.Wynagrodzenie jest za pracę zadaniową, w przybliżeniu za jedno plakatowanie wynosi około 170 zł brutto. W wynagrodzeniu są już zawarte koszty związane z zużyciem paliwa, każdy wyjazd to około 20-25 km. Czyli stawka godzinowa po odliczeniu kosztów paliwo wynosi ok. 32-34 zł brutto/godz. Wynagrodzenie wynosi około 700-800 zł brutto/miesięcznie.Elastyczny czas pracy, zapewniamy sprzęt do wykonywania pracy, stabilne zatrudnienie – długoterminowa współpraca, szkolenie wprowadzające.Osoby zainteresowane powinny wziąć pod uwagę, że klejenie plakatów nie jest wyczerpujące fizycznie, ale odbywa się niemal w każdych warunkach pogodowych – czy jest ciepło czy zimno. Wyjątkiem są tylko ekstremalne burze lub wichury. ;-)Oferowane stanowisko pracy dotyczy długoterminowej współpracy, a nie jednorazowego wylepu! Jest to praca na umowe zlecenie lub samozatrudnienie (kontrakt B2B).";['Klejenie plakatów Nowy Sącz (32-34 zł brutto/godz.)'];['32 zł - 34 zł zł / godz. brutto'];['Nowy Sącz'];['Umowa zlecenie'];['Dodatkowa / sezonowa'];http://www.olx.pl/oferta/praca/klejenie-plakatow-nowy-sacz-32-34-zl-brutto-godz-CID4-IDSq1bg.html
216;"Poszukujemy pracownika od zaraz do wyklejania plakatów na terenie miasta Legnica. Powyższe prace prowadzone są zazwyczaj 1x w tygodniu w każdą niedzielę. Wymagamymin. 18 latprawo jazdyaparat fotograficzny/ telefon z aparatemwłasny samochóddostęp do internetumiejsce zamieszkania Legnica i jej okoliceKlejenie plakatów jest prowadzone zazwyczaj 1x w tygodniu w każdą sobota czy niedziela w ciągu dnia. Praca potrwa około 4 godzin. Osoba plakatująca jest odpowiedzialna za swój przydzielony sektor, który składa się z około 30 słupów. Wynagrodzenie jest za pracę zadaniową i w przybliżeniu za jedno plakatowanie wynosi około 160 zł brutto (ok 32-33 zł brutto/godz.). W wynagrodzeniu są już zawarte koszty związane z zużyciem paliwa, każdy wyjazd to około 20-30 km. . Wynagrodzenie wynosi około 700 zł brutto/miesięcznie.Osoby zainteresowane powinny wziąć pod uwagę, że klejenie plakatów nie jest wyczerpujące fizycznie, ale odbywa się niemal w każdych warunkach pogodowych – czy jest ciepło czy zimno. Wyjątkiem są tylko ekstremalne burze lub wichury. ;-) Oferowane stanowisko pracy dotyczy długoterminowej współpracy, a nie jednorazowego wylepu! Jest to praca na umowe zlecenie.";['Klejenie plakatów Legnica w weekendy (ok. 32-33 zł brutto/godz.)'];['32 zł - 33 zł zł / godz. brutto'];['Legnica'];['Umowa zlecenie'];['Dodatkowa / sezonowa'];http://www.olx.pl/oferta/praca/klejenie-plakatow-legnica-w-weekendy-ok-32-33-zl-brutto-godz-CID4-IDDULFk.html
217;Hotel w centrum Krakowa zatrudni osobę do pracy w charakterze pokojowej. Mile widziane doświadczenie, lecz możemy także przyuczyć.Praca OD ZARAZ.;['Praca Pokojowej w Hotelu w Centrum Krakowa'];['4 800 zł - 5 200 zł zł / mies. brutto'];['Kraków, Stare Miasto'];['Umowa zlecenie'];['Pełny etat'];http://www.olx.pl/oferta/praca/praca-pokojowej-w-hotelu-w-centrum-krakowa-CID4-IDUpR7h.html
218;Przychodnia Rehabilitacyjna poszukuje FIZJOTERAPEUTĘ/TKĘ do realizacji wizyt domowych na terenie Będzina.FIZJOTERAPEUTA/TKA - licencjat lub magister.Wynagrodzenie miesięczne 4500 netto + koszty dojazdu do Pacjenta.Przy zgłoszeniu prosimy o przesłanie Cv.;['Rehabilitacja - poszukujemy FIZJOTERAPEUTKĘ/TĘ - wizyty domowe'];['Będzin, Śródmieście'];['Pełny etat'];[];['Umowa o pracę'];http://www.olx.pl/oferta/praca/rehabilitacja-poszukujemy-fizjoterapeutke-te-wizyty-domowe-CID4-IDTnj49.html
219;ISS FACILITY SERVICES POLSKA wchodzi w skład międzynarodowej Grupy ISS, jednego z największych na świecie usługodawców w zakresie kompleksowej obsługi obiektów. W Polsce firma działa od 1995 r. i zatrudnia około 2000 pracowników.Miejsce pracy: Warszawa Rondo ONZZakres obowiązków:Utrzymanie czystości w obszarze biurowym, w tym:Sprzątanie biura,sal konferencyjnych, recepcjiDbałość o czystość również na kuchni oraz w łazienkachGospodarowanie środkami czystościWymagania:Dokładność i sumiennośćZaangażowanie w wykonywaną pracęDyspozycyjność od poniedziałku do piątku w godz. 7.30-12.30 LUB 12.30-17.30Oferujemy:Stabilne zatrudnienie i terminowe wynagrodzenieProfesjonalne wdrożenie stanowiskoweNiezbędny strój i narzędzia do pracyPrzyjazne miejsce pracy – klimatyzowane pomieszczenia o podwyższonym standardzie czystościJeśli ta oferta jest idealna dla Ciebie, kliknij Aplikuj i prześlij nam swoje aktualne CV.Uprzejmie informujemy, że skontaktujemy się z wybranymi osobami.Prosimy o dołączenie do przekazywanego CV poniższej klauzuli: „Działając na podstawie art. 6 ust. 1 pkt. a) Ogólnego Rozporządzenia o Ochronie Danych (RODO), wyrażam dobrowolnie zgodę na przetwarzanie moich danych osobowych przez ISS Facility Services z o.o. z siedzibą w Warszawie do celów związanych z procesem rekrutacji. Potwierdzam, że zapoznałem się z Polityką prywatności spółek ISS opublikowaną na stronie /www.pl.issworld.com/ i jestem świadom wszystkich kwestii uregulowanych w powyższej Polityce prywatności związanych z przetwarzaniem moich danych osobowych, w tym okresu, przez jaki przechowywane będą moje dane osobowe oraz przysługujących mi praw, w tym prawa do wycofania niniejszej zgody w dowolnym momencie”.Informujemy: „Administratorem Państwa danych osobowych jest ISS Facility Services z o.o. z siedzibą w Warszawie, ul. Cybernetyki 10 ,02-677 Warszawa, wpisana do rejestru przedsiębiorców prowadzonego przez Sąd Rejonowy dla m.st. Warszawy w Warszawie, XIII Wydział Gospodarczy Krajowego Rejestru Sądowego pod numerem KRS 3466 6, NIP 676177157 6. Wszelkie dane administratora danych, informacje dotyczące przysługujących Państwu praw, celu i podstawy prawnej przetwarzania, okresu przez który dane będą przechowywane oraz wszelkie inne informacje zgodnie z art. 13 Ogólnego Rozporządzenia o Ochronie Danych (RODO), zostały zamieszczone w zakładce Polityka prywatności. Prosimy o uważne zapoznanie się z Polityką prywatności przed przesłaniem nam swojej aplikacji”.;['Sprzatanie biura 7.30-12.30 lub 12.30-17.30 Warszawa-Rondo ONZ'];['Warszawa, Śródmieście'];['Niepełny etat'];[];['Umowa zlecenie'];http://www.olx.pl/oferta/praca/sprzatanie-biura-7-30-12-30-lub-12-30-17-30-warszawa-rondo-onz-CID4-IDUjUUE.html
